ID,filename,desc::ENG,desc::gls,desc::FAS,desc::ortho,video_url,audio_url,image_url,surprisal,word order,focus,desc::Q-word,intonation,function
1,01_00_02,Would you like me to give you some money?, money IPFV-want-2sg some to-2sg.PC SBJV-give-1sg, pul mi-xA-y yekam be-t be-d-am,ول می‌خوای یکم بهت بدم؟,https://youtu.be/ReKdoQIYKOc?t=5,/kourosh/01_00_02.wav,/kourosh/01_00_02.png,not-surprised,non-canonical,not-focused,mi-xA-y,rising,Offer
2,01_00_10,I want to see if there is anyone here to help me?, IPFV.want.1sg SBJV-see-1sg anyone be.3sg here doing SBJV-give.3sg, mi-xAst-am be-bin-am kesi hast injA anjAm be-de,می‌خواستم ببینم کسی هست اینجا انجام بده؟,https://youtu.be/ReKdoQIYKOc?t=51,/kourosh/01_00_10.wav,/kourosh/01_00_10.png,not-surprised,non-canonical,not-focused,hast,rising,Genuine
3,02_20_04,No way... Does that mean I should miss it?, that_is nothing just_like_that should in regret SBJV-remain-1sg now, yani hich haminjur bAyad dar hasrat-esh be-mun-am alAn,یعنی هیچ همینجور باید در حسرتش بمونم الان؟,https://youtu.be/X7vwbmpe71U?t=94,/kourosh/02_20_04.wav,/kourosh/02_20_04.png,surprised,non-canonical,focused,hasrat-esh,rising,Rhetorical
4,02_20_06,Would you like to see my imported car?, IPFV-want-2sg car imported-EZ I-OBJ SBJV-see-2sg, mi-xA-y mAshin vAredAti-ye man-o be-bin-i,می‌خوای ماشین وارداتیِ منو ببینی؟,https://youtu.be/X7vwbmpe71U?t=101,/kourosh/02_20_06.wav,/kourosh/02_20_06.png,not-surprised,canonical,not-focused,mi-xA-y,rising,Offer
5,02_20_08,I parked my Pride [car] in front of that. Someone may have stolen it?, Pride-1sg-OBJ in_front_of-EZ there park do-1sg steal-3pl that_is, perAyd-am-o jelo-ye unjA pArk kard-am dozdid-an yani,"پرایدمو جلوِ اونجا پارک کردم، دزدیدن یعنی؟",https://youtu.be/X7vwbmpe71U?t=129,/kourosh/02_20_08.wav,/kourosh/02_20_08.png,surprised,non-canonical,not-focused,dozdid-an,rising,Confirmation
6,02_50_02,Will this person [to respect the addresse he uses a plural form of demonstrative third person plural] take care of that - the car?, they burden-3sg-OBJ IPFV-pull-3pl for car, ishun zahmat-esh-o mi-kesh-an barA mAshin,ایشون زحمتشو می‌کشن برای ماشین؟,https://youtu.be/ReKdoQIYKOc?t=119,/kourosh/02_50_02.wav,/kourosh/02_50_02.png,not-surprised,non-canonical,not-focused,mi-kesh-an,rising,Confirmation
7,02_50_06,Do you need the window-tinting as well?, glass smoked-also SBJV-want-2sg, shishe dudi-yam mi-xA-y,شیشه دودی‌ام می‌خوای؟,https://youtu.be/ReKdoQIYKOc?t=143,/kourosh/02_50_06.wav,/kourosh/02_50_06.png,not-surprised,canonical,not-focused,dudi-yam,level,Genuine
8,03_27_08,Does its roof close?, roof-3sg closed IPFV-become.3sg, saqf-esh baste mi-she,سقفش بسته می‌شه؟,https://youtu.be/X7vwbmpe71U?t=195,/kourosh/03_27_08.wav,/kourosh/03_27_08.png,surprised,canonical,not-focused,baste,rising,Genuine
9,05_15_04,Negin's father?, father-EZ Negin, bAbA-ye negin,بابای نگین؟,https://youtu.be/X7vwbmpe71U?t=292,/kourosh/05_15_04.wav,/kourosh/05_15_04.png,surprised,canonical,focused,bAbA-ye,rising,Confirmation
10,06_15_04,I am looking for an accomodation in this city is there any?, I to pursuant-EZ preparation accomodation in this city be.1sg AyA be.3sg, man be donbAl-e tahiye-ye maskan dar in shahr has-tam AyA hast,"من به دنبال تهیه مسکن در این شهر هستم، آیا هست؟",https://youtu.be/ReKdoQIYKOc?t=312,/kourosh/06_15_04.wav,/kourosh/06_15_04.png,not-surprised,canonical,not-focused,AyA,rising,Genuine
11,07_26_04,Is this person your daughter?, this daughter-EZ your be-3pl, ishun doxtar-e shomA hast-an,ایشون دخترِ شما هستن؟,https://youtu.be/ReKdoQIYKOc?t=371,/kourosh/07_26_04.wav,/kourosh/07_26_04.png,surprised,canonical,focused,doxtar-e,rising,Confirmation
12,07_26_10,Did you find a solution?, solution-INDEF finding do-2pl, rAhehal-i peydA kard-in,راه‌حلی پیدا کردین؟,https://youtu.be/ReKdoQIYKOc?t=395,/kourosh/07_26_10.wav,/kourosh/07_26_10.png,not-surprised,canonical,not-focused,peydA,level,Genuine
13,07_55_04,Is the house expensive?, house expensive-be.3sg, xune gerun-e,خونه گرونه؟,https://youtu.be/ReKdoQIYKOc?t=423,/kourosh/07_55_04.wav,/kourosh/07_55_04.png,not-surprised,canonical,not-focused,gerun-e,rising,Echo
14,09_01_02,Men's beauty?, beauty-EZ man-PL, zibAyi-ye mard-An,زیباییِ مردان؟,https://youtu.be/X7vwbmpe71U?t=496,/kourosh/09_01_02.wav,/kourosh/09_01_02.png,surprised,canonical,focused,mard-An,rising,Echo
15,09_01_04,Shall we go now?, SBJV-go-1pl now, be-r-im hAlA,بریم حالا؟,https://youtu.be/X7vwbmpe71U?t=506,/kourosh/09_01_04.wav,/kourosh/09_01_04.png,not-surprised,non-canonical,not-focused,be-r-im,level,Offer
16,09_10_02,I think you meant Chitgar lake?, lake Chitgar-OBJ thinking do-1sg meaning-2pl be.3sg, daryAche Chitgar-o fek kon-am manzur-etun bud,دریاچه چیتگر رو فکر کنم منظورتون بود؟,https://youtu.be/ReKdoQIYKOc?t=484,/kourosh/09_10_02.wav,/kourosh/09_10_02.png,not-surprised,non-canonical,focused,Chitgar-o,level,Confirmation
17,10_00_04,Do you have my voice?, you voice-EZ I-OBJ have-2sg, shomA sedA-ye man-o dAr-in,شما صدای منو دارین؟,https://youtu.be/ReKdoQIYKOc?t=531,/kourosh/10_00_04.wav,/kourosh/10_00_04.png,not-surprised,canonical,not-focused,man-o,rising,Genuine
18,10_00_08,My urban problem is so cute?, problem-EZ city-EZ I what nice-be.3sg, moshkel-e shahri-ye man che nAz-e,مشکلِ شهریِ من چه نازه؟,https://youtu.be/ReKdoQIYKOc?t=541,/kourosh/10_00_08.wav,/kourosh/10_00_08.png,not-surprised,canonical,not-focused,che,rising,Echo
19,10_07_02,Ms. doctor? [does it belong to the doctor?], Ms. doctor-be.3sg, xAnom doktor-e,خانم دکتره؟,https://youtu.be/ReKdoQIYKOc?t=574,/kourosh/10_07_02.wav,/kourosh/10_07_02.png,surprised,canonical,focused,xAnom,rising,Echo
