ID,filename,desc::ENG,desc::gls,desc::FAS,video_url,audio_url,image_url,surprisal,word order,focus,desc::Q-word,intonation,function
1,01_00_02,Would you like me to give you some money?,money IPFV-want-2sg some to-2sg.PC SBJV-give-1sg,pul mi-xA-y yekam be-t be-d-am,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/01_00_02.wav,kourosh/01_00_02.png,0,0,0,mi-xA-y,1,Offer
2,01_00_10,I want to see if there is anyone here to help me?,IPFV.want.1sg SBJV-see-1sg anyone be.3sg here doing SBJV-give.3sg,mi-xAst-am be-bin-am kesi hast injA anjAm be-de,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/01_00_10.wav,kourosh/01_00_10.png,0,0,0,hast,1,Genuine
3,02_20_04,No way... Does that mean I should miss it?,that_is nothing just_like_that should in regret SBJV-remain-1sg now,yani hich haminjur bAyad dar hasrat-esh be-mun-am alAn,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/02_20_04.wav,kourosh/02_20_04.png,1,0,1,hasrat-esh,1,Rhetorical
4,02_20_06,Would you like to see my imported car?,IPFV-want-2sg car imported-EZ I-OBJ SBJV-see-2sg,mi-xA-y mAshin vAredAti-ye man-o be-bin-i,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/02_20_06.wav,kourosh/02_20_06.png,0,1,0,mi-xA-y,1,Offer
5,02_20_08,I parked my Pride [car] in front of that. Someone may have stolen it?,Pride-1sg-OBJ in_front_of-EZ there park do-1sg steal-3pl that_is,perAyd-am-o jelo-ye unjA pArk kard-am dozdid-an yani,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/02_20_08.wav,kourosh/02_20_08.png,1,0,0,dozdid-an,1,Confirmation
6,02_50_02,Will this person [to respect the addresse he uses a plural form of demonstrative third person plural] take care of that - the car?,they burden-3sg-OBJ IPFV-pull-3pl for car,ishun zahmat-esh-o mi-kesh-an barA mAshin,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/02_50_02.wav,kourosh/02_50_02.png,0,0,0,mi-kesh-an,1,Confirmation
7,02_50_06,Do you need the window-tinting as well?,glass smoked-also SBJV-want-2sg,shishe dudi-yam mi-xA-y,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/02_50_06.wav,kourosh/02_50_06.png,0,1,0,dudi-yam,0,Genuine
8,03_27_08,Does its roof close?,roof-3sg closed IPFV-become.3sg,saqf-esh baste mi-she,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/03_27_08.wav,kourosh/03_27_08.png,1,1,0,baste,1,Genuine
9,05_15_04,Negin's father?,father-EZ Negin,bAbA-ye negin,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/05_15_04.wav,kourosh/05_15_04.png,1,1,1,bAbA-ye,1,Confirmation
10,06_15_04,I am looking for an accomodation in this city is there any?,I to pursuant-EZ preparation accomodation in this city be.1sg AyA be.3sg,man be donbAl-e tahiye-ye maskan dar in shahr has-tam AyA hast,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/06_15_04.wav,kourosh/06_15_04.png,0,1,0,AyA,1,Genuine
11,07_26_04,Is this person your daughter?,this daughter-EZ your be-3pl,ishun doxtar-e shomA hast-an,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/07_26_04.wav,kourosh/07_26_04.png,1,1,1,doxtar-e,1,Confirmation
